name,location,main_cuisine,rate,votes,approx_cost(for two people),rest_type
Kabab Magic,Basavanagudi,Indian,4.1,1720,400.0,Quick Bites
Namma Brahmin's Idli,Jayanagar,Indian,3.6,34,100.0,Quick Bites
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,Indian,4.1,558,150.0,Quick Bites
Vijayalakshmi,Basavanagudi,Indian,3.9,47,200.0,Quick Bites
Wahab,Jayanagar,Indian,3.7,97,350.0,Quick Bites
HOT COFFEE,Basavanagudi,Indian,4.1,70,150.0,Quick Bites
By 2 Coffee,Basavanagudi,Indian,3.9,25,100.0,Quick Bites
Kedia's Fun Food,Jayanagar,Indian,4.3,630,200.0,Quick Bites
Mulabagilu Dosa,Basavanagudi,Indian,3.6,11,100.0,Quick Bites
Tiwari's,Jayanagar,Indian,3.8,70,200.0,Quick Bites
Kollapuri's,Basavanagudi,Indian,3.9,206,450.0,Quick Bites
Kholi Mane,Basavanagudi,Indian,3.6,46,450.0,Quick Bites
Sri Udupi Veg,Jayanagar,Indian,3.3,4,250.0,Quick Bites
Hatti Kaapi,Jayanagar,Indian,4.0,89,200.0,Quick Bites
Anda Ka Funda,Jayanagar,Indian,3.4,89,250.0,Quick Bites
South Kitchen,Basavanagudi,Indian,4.3,275,100.0,Quick Bites
Millet Mama,Basavanagudi,Indian,3.9,18,200.0,Quick Bites
Kamat Bugle Rock,Basavanagudi,Indian,3.9,543,300.0,Quick Bites
Puliyogare Point,Basavanagudi,Indian,4.2,444,100.0,Quick Bites
Bangalore Agarwal Bhavan,Jayanagar,Indian,3.9,134,400.0,Quick Bites
Just Thindi,Basavanagudi,Indian,3.6,16,200.0,Quick Bites
Kaapi Kendra,Jayanagar,Indian,3.7,14,100.0,Quick Bites
The Krishna Grand Xpress,Jayanagar,Indian,4.0,136,350.0,Quick Bites
Sri Krishna Darshini,Basavanagudi,Indian,3.1,4,200.0,Quick Bites
Shringar Sweets & Snacks,Basavanagudi,Indian,3.5,11,200.0,"Sweet Shop, Quick Bites"
Udupi Grand,Basavanagudi,Indian,3.8,74,300.0,Quick Bites
Ganesh Grand,Basavanagudi,Indian,3.7,30,300.0,Quick Bites
Shreyas Upahar & Burger Point,Basavanagudi,Indian,3.0,7,200.0,Quick Bites
Lalbagh Grand,Basavanagudi,Indian,3.0,22,250.0,Quick Bites
Eat Repeat,Basavanagudi,Indian,3.9,101,150.0,Quick Bites
Dakshin Kitchen,Basavanagudi,Indian,3.6,15,100.0,Quick Bites
Sri Sai Cafe,Basavanagudi,Indian,3.5,10,200.0,Quick Bites
Swarga Ruchi,Basavanagudi,Indian,3.3,10,200.0,Quick Bites
Food Springs,Jayanagar,Indian,4.0,232,400.0,Quick Bites
Maiyas,Jayanagar,Indian,4.0,1778,200.0,Quick Bites
Upahara Darshini,Jayanagar,Indian,3.8,339,400.0,Quick Bites
Juice Junction Food Court,Basavanagudi,Indian,3.7,57,200.0,Quick Bites
Kaulige Millet Corner,Basavanagudi,Indian,3.3,4,150.0,Quick Bites
Starlite Bakery & Fastfood,Jayanagar,Indian,3.7,0,300.0,Quick Bites
Biriyani Mane,Jayanagar,Indian,3.8,130,400.0,Quick Bites
Sri Venkateshwara Sweet Meat Stall,Basavanagudi,Indian,4.0,98,400.0,"Sweet Shop, Quick Bites"
Ranganna Military Hotel,Jayanagar,Indian,4.2,725,350.0,Quick Bites
Vidyarthi Bhavan,Basavanagudi,Indian,4.4,4460,150.0,Quick Bites
Eat Repeat,Basavanagudi,Indian,3.9,101,150.0,Quick Bites
